close,high,low,bb_bbm,bb_bbh,bb_bbl,var,ema_3,ema_5,delta_1,delta_2,ret_3,equals_pct_5,atr_3,resultado,contexto,streak_lost
8654.1,8654.11,8654.09,8654.03,8654.29907248095,8653.760927519052,1.2657995882846657e-05,8654.151336963288,8654.140337511268,-0.1000000000003638,-0.1999999999989086,-1.1555083081038475e-05,0.0,0.1099994719715343,lost,seguro,
8654.6,8654.61,8654.59,8654.07,8654.416987031465,8653.723012968534,2.8304302779577484e-05,8654.375668481644,8654.293558340847,0.5,0.3999999999996362,3.466484868797082e-05,0.0,0.243332981314429,won,seguro,
8654.1,8654.11,8654.09,8654.08,8654.418230690513,8653.741769309487,4.198105123459128e-05,8654.237834240823,8654.229038893898,-0.5,0.0,-1.1555083081038475e-05,0.0,0.3322219875430254,lost,seguro,
8654.0,8654.01,8653.99,8654.08,8654.418230690513,8653.741769309487,4.1340162261969513e-05,8654.118917120411,8654.152692595933,-0.1000000000003638,-0.6000000000003638,-1.1555216602565643e-05,0.0,0.2581479916955443,won,seguro,
8654.1,8654.11,8654.09,8654.079999999998,8654.418230690511,8653.741769309485,4.198108798605773e-05,8654.109458560206,8654.135128397289,0.1000000000003638,0.0,-5.777274512974717e-05,0.0,0.2087653277972235,won,seguro,
8654.6,8654.61,8654.59,8654.1,8654.504969134634,8653.695030865367,4.902345199469258e-05,8654.354729280103,8654.290085598193,0.5,0.6000000000003638,5.77760830127172e-05,0.0,0.3091768851982218,lost,seguro,
8654.7,8654.710000000001,8654.69,8654.130000000001,8654.612078831735,8653.647921168267,4.198096304082167e-05,8654.527364640053,8654.42672373213,0.1000000000003638,0.6000000000003638,8.088745088974392e-05,0.0,0.2427845901323418,won,seguro,
8654.6,8654.61,8654.59,8654.16,8654.679230199437,8653.640769800562,2.8304221027612657e-05,8654.563682320026,8654.484482488086,-0.1000000000003638,0.0,5.77760830127172e-05,0.0,0.1985230600884219,won,seguro,
8654.7,8654.710000000001,8654.69,8654.189999999999,8654.758858506138,8653.621141493859,2.531604662831963e-05,8654.631841160013,8654.556321658725,0.1000000000003638,0.0,1.1554549026016048e-05,0.0,0.1690153733924753,won,seguro,
8654.6,8654.61,8654.59,8654.22,8654.808557558788,8653.63144244121,2.830405751060908e-05,8654.615920580007,8654.570881105818,-0.1000000000003638,0.0,-1.155441551992098e-05,0.0,0.1493435822618442,won,seguro,
8654.5,8654.51,8654.49,8654.25,8654.831377674156,8653.668622325844,1.26573255372808e-05,8654.557960290003,8654.547254070545,-0.1000000000003638,-0.2000000000007276,-1.1554549026016048e-05,0.0,0.1362290548414235,won,seguro,
8654.2,8654.210000000001,8654.19,8654.26,8654.830613704715,8653.689386295286,1.6340741548293646e-05,8654.378980145002,8654.431502713698,-0.2999999999992724,-0.3999999999996362,-5.777207759949388e-05,0.0,0.1941527032274459,won,seguro,
8654.3,8654.31,8654.289999999999,8654.28,8654.826260011358,8653.733739988644,1.9334721891961693e-05,8654.3394900725,8654.3876684758,0.0999999999985448,-0.2000000000007276,-3.466364707793712e-05,0.0,0.1661018021512183,lost,seguro,
8654.4,8654.41,8654.39,8654.31,8654.811597448166,8653.808402551833,1.933481763756204e-05,8654.369745036249,8654.391778983867,0.1000000000003638,0.1999999999989086,-1.1554682535108718e-05,0.0,0.1474012014343395,won,seguro,
8654.3,8654.31,8654.289999999999,8654.33,8654.795188133992,8653.864811866008,1.9334841574028823e-05,8654.334872518124,8654.361185989244,-0.1000000000003638,0.0,1.155508308081643e-05,0.0,0.1349341342897537,won,seguro,
8654.3,8654.31,8654.289999999999,8654.36,8654.786145515063,8653.933854484938,1.6341071975052137e-05,8654.291859064764,8654.310721774593,0.0999999999985448,-0.1000000000003638,0.0,0.0,0.1396101138631106,won,seguro,
8654.8,8654.81,8654.789999999999,8654.384999999998,8654.850939910297,8653.9190600897,3.1005093673687675e-05,8654.545929532382,8654.473814516396,0.5,0.5999999999985448,4.621926418924005e-05,0.0,0.2630734092421465,won,seguro,
8654.5,8654.51,8654.49,8654.4,8654.860434577338,8653.939565422661,3.617212524006344e-05,8654.52296476619,8654.48254301093,-0.2999999999992724,0.2000000000007276,3.4665249243115426e-05,0.0,0.2787156061612612,lost,seguro,
8654.6,8654.61,8654.59,8654.425,8654.871654228693,8653.978345771306,3.617211244611572e-05,8654.561482383095,8654.52169534062,0.1000000000003638,-0.1999999999989086,3.466484868797082e-05,0.0,0.2224770707743681,won,seguro,
8654.7,8654.710000000001,8654.69,8654.43,8654.886508488431,8653.97349151157,3.268162473584142e-05,8654.630741191548,8654.581130227081,0.1000000000003638,0.2000000000007276,-1.1554282016712492e-05,0.0,0.1849847138497728,won,seguro,
8654.4,8654.41,8654.39,8654.445,8654.876161222757,8654.013838777242,3.866935603831378e-05,8654.515370595775,8654.520753484721,-0.3000000000010914,-0.2000000000007276,-1.1554682535108718e-05,0.0,0.226656475900285,won,seguro,
8654.5,8654.51,8654.49,8654.47,8654.850000000011,8654.089999999987,2.531449264366927e-05,8654.507685297887,8654.513835656482,0.1000000000003638,-0.2000000000007276,-1.1554549026016048e-05,0.0,0.1877709839337173,won,seguro,
8654.6,8654.61,8654.59,8654.495,8654.838365694282,8654.15163430572,2.0669286247667647e-05,8654.553842648944,8654.542557104323,0.1000000000003638,0.2000000000007276,-1.155441551992098e-05,0.0,0.1618473226226723,won,seguro,
